timestamp,journal_id,player,stacks,guardian_points
1702669033,3691643004,670000c898, ABX,2,801280
1702669018,3691641699,670000c898, ABX,3,629351
1702669001,3691640197,670000c898, ABX,3,667710
1702668985,3691638790,670000c898, ABX,3,667945
1702668964,3691636856,670000c898, ABX,3,718962
1702668840,3691625991,670000c898, ABX,4,663381
1702668794,3691622008,670000c898, ABX,4,661366
1702668727,3691616353,670000c898, ABX,4,725170
1702668632,3691608150,670000c898, ABX,4,682395
1702668586,3691604312,670000c898, ABX,4,706315
1702654540,3690458261,670000c898, ABX,2,1084491
1702654527,3690457315,670000c898, ABX,3,740832
1702654500,3690455323,670000c898, ABX,3,705820
1702654453,3690451931,670000c898, ABX,4,599239
1702654407,3690448763,670000c898, ABX,4,641059
1702654222,3690435351,670000c898, ABX,4,361797
1702654167,3690431528,670000c898, ABX,4,530451
1702654127,3690428722,670000c898, ABX,4,602360
1702654057,3690423820,670000c898, ABX,4,694748
1702653948,3690416116,670000c898, ABX,3,686536
1702653901,3690412774,670000c898, ABX,4,677485
1702653840,3690408393,670000c898, ABX,4,671510
1702653714,3690399236,670000c898, ABX,4,710908
1702653634,3690393372,670000c898, ABX,4,775867
1702653593,3690390514,670000c898, ABX,3,869794
1702653576,3690389234,670000c898, ABX,3,890968
1702653458,3690380460,670000c898, ABX,4,804585
1702653417,3690377506,670000c898, ABX,4,838357
1702653325,3690370964,670000c898, ABX,2,1145163
1702653311,3690369930,670000c898, ABX,3,933858
1702653202,3690362074,670000c898, ABX,4,972476
1702653156,3690358785,670000c898, ABX,4,923633
1702653047,3690351024,670000c898, ABX,1,2441480
1702653032,3690349931,670000c898, ABX,3,1098620
1702652984,3690346415,670000c898, ABX,4,979237
1702652941,3690343179,670000c898, ABX,4,1018212
1702652903,3690340148,670000c898, ABX,4,1030062
1702652759,3690329222,670000c898, ABX,3,1086500
1702652719,3690326373,670000c898, ABX,4,963835
1702652581,3690316050,670000c898, ABX,4,1046371
1702652501,3690310375,670000c898, ABX,4,947492
1702646965,3689946405,670000c898, ABX,2,1502193
1702646948,3689945216,670000c898, ABX,3,1025648
1702646930,3689944072,670000c898, ABX,3,1047541
1702646879,3689940856,670000c898, ABX,4,936647
1702646833,3689937852,670000c898, ABX,4,945416
1702646678,3689927558,670000c898, ABX,4,924833
1702646196,3689895471,670000c898, ABX,2,1127413
