timestamp,journal_id,player,stacks,guardian_points
1702667545,3691512459,4600025811, Austin,4,2968154
1702663936,3691199994,31000029a6, Addarr,4,2459727
1702667460,3691503773,4600025811, Austin,4,2985025
1702663878,3691194471,31000029a6, Addarr,4,2382025
1702667371,3691494505,4600025811, Austin,4,3126749
1702667284,3691485456,4600025811, Austin,4,2845684
1702663826,3691189359,31000029a6, Addarr,4,2392342
1702667184,3691475107,4600025811, Austin,4,2957142
1702663685,3691175669,31000029a6, Addarr,4,2455431
1702667140,3691470554,4600025811, Austin,4,3068721
1702663638,3691171029,31000029a6, Addarr,4,2381812
1702663482,3691155699,31000029a6, Addarr,4,2464145
1702663405,3691148256,31000029a6, Addarr,4,2460629
1702663819,3691188708,4600025811, Austin,4,2917870
1702663729,3691180095,4600025811, Austin,4,3190222
1702663578,3691164993,4600025811, Austin,4,3226707
1702663522,3691159606,4600025811, Austin,4,3056850
1702663423,3691149967,4600025811, Austin,4,2991713
1702663238,3691133861,4600025811, Austin,4,2715662
1702596066,3687021614,6400010baa, Anrining,2,1902300
1702596004,3687017032,6400010baa, Anrining,3,1376890
1702595939,3687012224,6400010baa, Anrining,3,1402420
1702595875,3687007619,6400010baa, Anrining,3,1387652
1702595806,3687002511,6400010baa, Anrining,3,1388069
1702595715,3686995826,6400010baa, Anrining,4,1184892
1702595548,3686983232,6400010baa, Anrining,4,1151844
1702595474,3686977450,6400010baa, Anrining,4,1135364
1702595369,3686969260,6400010baa, Anrining,4,1164976
1702595289,3686963162,6400010baa, Anrining,4,1156434
1702595183,3686954939,6400010baa, Anrining,4,1068442
1702595031,3686942898,6400010baa, Anrining,4,1022125
1702594948,3686936425,6400010baa, Anrining,4,1090152
1702595760,3686999096,4600025811, Austin,4,2656362
1702595641,3686990184,4600025811, Austin,4,2834101
1702595330,3686966305,4600025811, Austin,4,2723630
1702595170,3686953952,4600025811, Austin,4,2766708
1702595040,3686943675,4600025811, Austin,4,2832475
1702594990,3686939698,4600025811, Austin,4,2674391
1702594916,3686933885,4600025811, Austin,4,2813459
1702594861,3686929629,4600025811, Austin,4,2772338
1702671634,3691875759,570003d701, Boiti,2,2459774
1702671499,3691863468,570003d701, Boiti,3,1888022
1702671438,3691857755,570003d701, Boiti,3,1646484
1702671365,3691851102,570003d701, Boiti,4,1505806
1702671257,3691840876,570003d701, Boiti,4,1421168
1702671186,3691834219,570003d701, Boiti,4,1580289
1702671104,3691825928,570003d701, Boiti,4,1747059
1702671041,3691819448,570003d701, Boiti,4,1704027
1702670949,3691809823,570003d701, Boiti,4,1671358
1702670900,3691804835,570003d701, Boiti,4,1373612
1702670861,3691800802,570003d701, Boiti,4,1331013
1702670821,3691796461,570003d701, Boiti,4,1332474
1702671674,3691879226,530007e999, BalaGi,2,5212176
1702670690,3691782096,570003d701, Boiti,4,1317840
1702671649,3691877044,530007e999, BalaGi,2,5093462
1702670631,3691775859,570003d701, Boiti,4,1227786
1702670603,3691772890,570003d701, Boiti,4,1302431
1702671628,3691875221,530007e999, BalaGi,2,5177370
